ingredients,calorie,price,name
"سینه مرغ، تخم مرغ، پیاز، پودر پانکو، آرد، نمک و فلفل، آبلیمو",336,"10,000",شنیسل مرغ
"برنج، گوشت چرخ کرده، پیاز، نمک و فلفل سیاه، زعفران، کره",416,"10,000",چلو کباب کوبیده
"سینه مرغ، خیارشور، تخم مرغ، نخود فرنگی، پیاز، سیب زمینی، سس مایونز، نمک و فلفل سیاه",446,"8,000",سالاد الویه
"گوشت چرخ کرده، سیب زمینی، تخم مرغ، پیاز، گوجه فرنگی، نمک و فلفل",453,"8,000",کتلت گوشت
"برنج، مرغ، پیاز، ماست، زعفران، کره، آبلیمو، نمک و فلفل سیاه",495,"10,000",چلو جوجه کباب
"برنج، گوشت، کرفس، نعنا، جعفری، پیاز، نمک و فلفل سیاه، آبلیمو، زردچوبه",506,"8,000",چلو خورشت کرفس
"ماکارونی،گوشت چرخ کرده، پیاز، قارچ، سیب زمینی، رب گوجه، نمک و فلفل سیاه، زردچوبه",646,"8,000",ماکارونی
"گوشت، سبزی، لوبیا قرمز، پیاز، لیمو عمانی، نمک و فلفل سیاه",684,"10,000",چلو خورشت قورمه سبزی
"بادمجان، گوشت، گوجه فرنگی، پیاز، رب گوجه، زعفران، نمک و فلفل، زردچوبه",685,"10,000",چلو خورشت بادمجان
"برنج، سینه مرغ، سیب زمینی، لوبیا سبز، رب گوجه، پیاز، نمک و فلفل سیاه",926,"8,000",استانبولی پلو
"برنج، شوید، نمک، تن ماهی",946,"10,000",شوید پلو با تن ماهی
"برنج، گوشت، لپه، پیاز، سیب زمینی، رب گوجه، لیموعمانی، نمک و فلفل سیاه",996,"8,000",چلو خورشت  قیمه
"برنج، مرغ، رب گوجه، پیاز، سیر، کره، آبلیمو، زعفران، نمک و فلفل سیاه",1036,"10,000",زرشک پلو با مرغ
"برنج، لوبیا سبز، گوشت چرخ کرده، رب گوجه، پیاز، گوجه فرنگی، نمک و فلفل سیاه",1041,"8,000",لوبیا پلو
"برنج، عدس، گوشت چرخ کرده، کشمش، زعفران، کره، پیاز، نمک و فلفل سیاه",1151,"8,000",عدس پلو